week,Nord Stream_min,Nord Stream_max,Nord Stream_2021,Nord Stream_2022,Nord Stream_2023,Nord Stream_2024,Nord Stream_2025,Nord Stream_2026,Ukraine Gas Transit_min,Ukraine Gas Transit_max,Ukraine Gas Transit_2021,Ukraine Gas Transit_2022,Ukraine Gas Transit_2023,Ukraine Gas Transit_2024,Ukraine Gas Transit_2025,Ukraine Gas Transit_2026,"Yamal (BY,PL)_min","Yamal (BY,PL)_max","Yamal (BY,PL)_2021","Yamal (BY,PL)_2022","Yamal (BY,PL)_2023","Yamal (BY,PL)_2024","Yamal (BY,PL)_2025","Yamal (BY,PL)_2026",turkstream20,turkstream21,turkstream22,turkstream23,turkstream24,turkstream25,turkstream26
35,855,"1,195","1,193",62,,,,,634,"1,877",733,266,254,313,,,429,778,633,,,,,,125,280,301,340,342,373,
36,651,"1,195","1,194",,,,,,515,"2,003",647,270,229,340,,,711,777,592,,,,,,121,242,281,329,335,361,
37,0,"1,195","1,193",,,,,,515,"2,207",619,268,241,356,,,634,776,582,,,,,,122,200,293,347,336,370,
38,495,"1,194","1,194",,,,,,542,"2,078",660,268,247,346,,,640,775,683,,,,,,129,227,263,328,345,342,
39,890,"1,195","1,193",,,,,,629,"1,646",673,272,257,339,,,728,776,748,,,,,,132,237,221,356,332,372,
40,875,"1,193","1,194",,,,,,959,"1,777",659,268,220,308,,,716,767,413,,,,,,115,207,214,272,332,380,
41,861,"1,193","1,194",,,,,,"1,137","1,866",691,273,258,284,,,735,773,293,,,,,,111,279,245,324,322,386,
42,888,"1,206","1,194",,,,,,"1,163","1,934",682,254,273,281,,,699,771,310,,,,,,74,284,247,361,318,358,
43,870,"1,201","1,193",,,,,,"1,177","1,893",672,209,273,292,,,731,776,282,,,,,,116,283,225,352,375,394,
44,828,"1,195","1,200",,,,,,"1,173","1,831",652,212,254,308,,,721,773,257,,,,,,95,277,186,284,319,382,
45,818,"1,193","1,194",,,,,,"1,144","1,927",622,239,282,352,,,717,774,115,,,,,,136,209,211,289,347,390,
46,749,"1,192","1,193",,,,,,"1,199","1,961",812,326,290,362,,,718,775,261,,,,,,147,238,214,300,357,378,
47,873,"1,209","1,193",,,,,,"1,192","2,025",850,321,338,364,,,690,775,366,,,,,,158,266,222,320,361,381,
48,868,"1,193","1,192",,,,,,"1,217","2,013",845,314,413,340,,,693,775,382,,,,,,163,263,290,312,349,386,
49,864,"1,202","1,194",,,,,,"1,227","2,017",785,328,424,311,,,677,775,379,,,,,,169,310,328,334,355,396,
50,867,"1,201","1,194",,,,,,"1,238","1,933",775,352,408,321,,,678,776,381,,,,,,151,320,305,314,351,397,
51,850,"1,196","1,193",,,,,,"1,246","1,903",788,285,404,306,,,682,775,330,,,,,,164,323,230,297,333,393,
52,772,"1,195","1,188",,,,,,"1,236","1,735",691,276,392,319,,,676,775,169,,,,,,158,306,202,274,343,389,
53,,,"1,173",,,,,,,,594,,,,,,,,131,,,,,,,256,,,,,
